ROI,Subject,Weight
1,313_VWFA_03_sess2_PL2017,1.000000
1,314_VWFA_13_sess2_PL2017,1.000000
1,315_VWFA_17_sess2_PL2017,1.000000
2,313_VWFA_03_sess2_PL2017,1.000000
2,314_VWFA_13_sess2_PL2017,1.000000
2,315_VWFA_17_sess2_PL2017,1.000000
3,313_VWFA_03_sess2_PL2017,1.000000
3,314_VWFA_13_sess2_PL2017,1.000000
3,315_VWFA_17_sess2_PL2017,1.000000
4,313_VWFA_03_sess2_PL2017,1.000000
4,314_VWFA_13_sess2_PL2017,1.000000
4,315_VWFA_17_sess2_PL2017,1.000000
5,313_VWFA_03_sess2_PL2017,1.000000
5,314_VWFA_13_sess2_PL2017,1.000000
5,315_VWFA_17_sess2_PL2017,1.000000
6,313_VWFA_03_sess2_PL2017,1.000000
6,314_VWFA_13_sess2_PL2017,1.000000
6,315_VWFA_17_sess2_PL2017,1.000000
7,313_VWFA_03_sess2_PL2017,1.000000
7,314_VWFA_13_sess2_PL2017,1.000000
7,315_VWFA_17_sess2_PL2017,1.000000
8,313_VWFA_03_sess2_PL2017,1.000000
8,314_VWFA_13_sess2_PL2017,1.000000
8,315_VWFA_17_sess2_PL2017,1.000000
9,313_VWFA_03_sess2_PL2017,1.000000
9,314_VWFA_13_sess2_PL2017,1.000000
9,315_VWFA_17_sess2_PL2017,1.000000
10,313_VWFA_03_sess2_PL2017,1.000000
10,314_VWFA_13_sess2_PL2017,1.000000
10,315_VWFA_17_sess2_PL2017,1.000000
11,313_VWFA_03_sess2_PL2017,1.000000
11,314_VWFA_13_sess2_PL2017,1.000000
11,315_VWFA_17_sess2_PL2017,1.000000
12,313_VWFA_03_sess2_PL2017,1.000000
12,314_VWFA_13_sess2_PL2017,1.000000
12,315_VWFA_17_sess2_PL2017,1.000000
